NOC 2016  Version 1.3 Code,NOC 2016  Version 1.3 Title,Partial,SOC 2018 (US) Code,SOC 2018 (US) Title,Explanatory Notes
0422,School principals and administrators of elementary and secondary education,*,11-9032,"Education Administrators, Kindergarten through Secondary","Only school principals and administrators in elementary and secondary education, excluding highest level management of school boards, and also excluding school district superintendents and administrators"
0423,"Managers in social, community and correctional services",*,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Only administrators and managers of child-care centres 
0423,"Managers in social, community and correctional services",*,11-9151,Social and Community Service Managers,"Only managers in social, community and correctional services, excluding administrators and managers of child-care centres and directors and mangers of religious education and activities"
0423,"Managers in social, community and correctional services",*,21-2021,"Directors, Religious Activities and Education",Only directors and managers of religious education and activities
0431,Commissioned police officers,*,11-1021,General and Operations Managers,Only highest level police management positions 
0431,Commissioned police officers,*,33-1012,First-Line Supervisors of Police and Detectives,Only first-line supervisors of police and detectives
0432,Fire chiefs and senior firefighting officers,*,11-1021,General and Operations Managers,Only highest level fire protection management position 
0432,Fire chiefs and senior firefighting officers,*,33-2021,Fire Inspectors and Investigators,Only fire investigators
0433,Commissioned officers of the Canadian Armed Forces,*,11-1021,General and Operations Managers,Only admirals 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1011,Air Crew Officers,"Only commissioned officers of CAF with duties related to direct in-flight, including operation of aircraft communication and radar equipment "
0433,Commissioned officers of the Canadian Armed Forces,*,55-1012,Aircraft Launch and Recovery Officers,Only commissioned officers of CAF with duties related to aircraft launch and recovery 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1013,Armored Assault Vehicle Officers,Only commissioned officers of CAF with duties related to armoured vehicles 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1014,Artillery and Missile Officers,Only commissioned officers of CAF with duties related to artillery and missiles 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1015,Command and Control Center Officers,"Only commissioned officers with duties related to command and control centres, including communications, detection and weapons systems "
0433,Commissioned officers of the Canadian Armed Forces,*,55-1016,Infantry Officers,Only commissioned officers of CAF with duties related to ground combat operations 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1017,Special Forces Officers,Only commissioned officers with duties related to special forces 
0433,Commissioned officers of the Canadian Armed Forces,*,55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",Only commissioned officers of the CAF not already represented in other relationships between this NOC code and SOC
0511,"Library, archive, museum and art gallery managers",,11-1021,General and Operations Managers,
0512,"Managers - publishing, motion pictures, broadcasting and performing arts",,11-1021,General and Operations Managers,
0513,"Recreation, sports and fitness program and service directors",*,11-9071,Gambling Managers,Only managers and directors of casinos and other gambling operations
0513,"Recreation, sports and fitness program and service directors",*,11-9072,"Entertainment and Recreation Managers, Except Gambling","Only managers and directors of recreation, sports and fitness programs and services, excluding casinos and other gambling establishments "
0601,Corporate sales managers,,11-2022,Sales Managers,
0621,Retail and wholesale trade managers,*,11-1021,General and Operations Managers,"Only top level managers of stores, including retail and wholesale establishments "
0621,Retail and wholesale trade managers,*,11-2022,Sales Managers,Only car dealership managers
0621,Retail and wholesale trade managers,*,41-1011,First-Line Supervisors of Retail Sales Workers,Only first-line supervisors of retail sales workers
0631,Restaurant and food service managers,,11-9051,Food Service Managers,
0632,Accommodation service managers,*,11-9072,"Entertainment and Recreation Managers, Except Gambling",Only managers of ski resorts
0632,Accommodation service managers,*,11-9081,Lodging Managers,Only accommodation and lodging service managers 
0632,Accommodation service managers,*,11-9111,Medical and Health Services Managers,Only managers of nursing homes 
0632,Accommodation service manager,*,39-9041,Residential Advisors,Only managers of student residences
0651,"Managers in customer and personal services, n.e.c.",,11-9179,"Personal Service Managers, All Other",
0711,Construction managers,*,11-9021,Construction Managers,Only general construction managers
0711,Construction managers,*,13-1082,Project Management Specialists,Only project management specialists in construction providing services on a per project basis
0712,Home building and renovation managers,,11-9021,Construction Managers,
0714,Facility operation and maintenance managers,*,11-3013,Facilities Managers,Only facility operation and maintenance managers not already represented in other relationships between this NOC code and SOC
0714,Facility operation and maintenance managers,*,11-3071,"Transportation, Storage, and Distribution Managers","Only managers and directors in distribution centre, storage, warehouse facility operations"
0714,Facility operation and maintenance managers,*,11-9072,"Entertainment and Recreation Managers, Except Gambling","Only managers in recreational and entertainment facility operations (excluding gambling), including canals, marinas, harbours and ports "
0731,Managers in transportation,,11-3071,"Transportation, Storage, and Distribution Managers",
0811,Managers in natural resources production and fishing,*,11-1021,General and Operations Managers,"Only general and operations managers in natural resources, excluding fishing"
0811,Managers in natural resources production and fishing,*,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Only managers of fishing operations and shore captains 
0821,Managers in agriculture,*,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Only managers in agriculture, excluding breeders of farm animals and livestock"
0821,Managers in agriculture,*,45-2021,Animal Breeders,Only breeders of farm animals and livestock 
0822,Managers in horticulture,,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",
0823,Managers in aquaculture,,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",
0911,Manufacturing managers,*,11-3051,Industrial Production Managers,"Only manufacturing managers, excluding managers in manufacturing logistics"
0911,Manufacturing managers,*,13-1081,Logisticians,Only managers in manufacturing logistics
0912,Utilities managers,*,11-1021,General and Operations Managers,"Only directors and managers of utility services, excluding power generation plants, operations and services "
0912,Utilities managers,*,11-3051,Industrial Production Managers,"Only directors and managers of power generation plants, operations and stations "
1111,Financial auditors and accountants,,13-2011,Accountants and Auditors,
1112,Financial and investment analysts,*,13-2051,Financial and Investment Analysts,Excluding analysts specializing in financial risk management 
1112,Financial and investment analysts,*,13-2054,Financial Risk Specialists,Only analysts specializing in financial risk management 
1113,"Securities agents, investment dealers and brokers",,41-3031,"Securities, Commodities, and Financial Services Sales Agents",
1114,Other financial officers,*,13-2052,Personal Financial Advisors,"Only advisors, counsellors and planners in personal financial planning and investment "
1114,Other financial officers,*,13-2061,Financial Examiners,"Only examiners, investigators and inspectors of financial institutes"
1114,Other financial officers,*,13-2072,Loan Officers,Only mortgage brokers 
1114,Other financial officers,*,13-2099,"Financial Specialists, All Other",Only financial officers not accounted for in other relationships between this NOC code and SOC
1121,Human resources professionals,*,13-1041,Compliance Officers,"Only advisers, co-ordinators, practitioners, officers and professionals in employment equity, including disability management "
1121,Human resources professionals,*,13-1075,Labor Relations Specialists,"Only agents, adjudicators, consultants, co-ordinators negotiators, officers and representatives in labour organizations and labour relations, including collective agreements "
1121,Human resources professionals,*,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Only human resources professionals specializing in compensation, benefits and job analysis"
1121,Human resources professionals,*,13-1151,Training and Development Specialists,"Only advisers, consultants, officers and supervisors in training and development "
1121,Human resources professionals,*,23-1022,"Arbitrators, Mediators, and Conciliators",Only arbitrators and mediators in labour relations and human resources 
1122,Professional occupations in business management consulting,,13-1111,Management Analysts,
1123,"Professional occupations in advertising, marketing and public relations",*,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Only agents, publicists, promoters, representatives and managers of performers, athletes, writers and other talented individuals "
1123,"Professional occupations in advertising, marketing and public relations",*,13-1131,Fundraisers,Only professionals specializing in fundraising 
1123,"Professional occupations in advertising, marketing and public relations",*,13-1161,Market Research Analysts and Marketing Specialists,"Only professionals specializing in marketing, including advertising specialists and consultants "
1123,"Professional occupations in advertising, marketing and public relations",*,27-3031,Public Relations Specialists,"Only professionals specializing in communication, media and public relations and publicity "
1123,"Professional occupations in advertising, marketing and public relations",*,41-3011,Advertising Sales Agents,Only professionals specializing in advertising accounts management 
1211,"Supervisors, general office and administrative support workers",,43-1011,First-Line Supervisors of Office and Administrative Support Workers,
1212,"Supervisors, finance and insurance office workers",,43-1011,First-Line Supervisors of Office and Administrative Support Workers,
1213,"Supervisors, library, correspondence and related information workers",,43-1011,First-Line Supervisors of Office and Administrative Support Workers,
1214,"Supervisors, mail and message distribution occupations",,43-1011,First-Line Supervisors of Office and Administrative Support Workers,
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",*,43-1011,First-Line Supervisors of Office and Administrative Support Workers,"Only supervisors in dispatch, freight forwarding, supply chain control, purchasing and scheduling"
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",*,53-1041,Aircraft Cargo Handling Supervisors,"Only supervisors in airline cargo load activities, including airport ramp services"
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",*,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","Only supervisors in shipping, receiving, warehousing and material control "
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",*,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,"Only supervisors in traffic control, transportation planning, logistics and route scheduling"
1221,Administrative officers,*,11-3012,Administrative Services Managers,"Only managers, administrators and coordinators of bands, reserves, offices and administrative services"
1221,Administrative officers,*,13-2031,Budget Analysts,Only budget analysts
1221,Administrative officers,*,25-9044,"Teaching Assistants, Postsecondary","Only invigilators, proctors and supervisors of exams - post-secondary institution"
1221,Administrative officers,*,43-1011,First-Line Supervisors of Office and Administrative Support Workers,"Only chief invigilators and supervisors of invigilators and exam proctors, non-post-secondary"
1221,Administrative officers,*,43-6011,Executive Secretaries and Executive Administrative Assistants,Only executive secretaries
1222,Executive assistants,,43-6011,Executive Secretaries and Executive Administrative Assistants,
1223,Human resources and recruitment officers,*,13-1071,Human Resources Specialists,"Only human resources and recruitment officers, excluding those specializing in temporary farming or agriculture "
1223,Human resources and recruitment officers,*,13-1074,Farm Labor Contractors,"Only specialists, consultants, officers and recruiters of temporary farming and agriculture workers "
1224,Property administrators,*,11-9141,"Property, Real Estate, and Community Association Managers","Only property, real estate, and community association managers "
1224,Property administrators,*,41-9022,Real Estate Sales Agents,Only real estate rental agents
1225,Purchasing agents and officers,*,13-1021,"Buyers and Purchasing Agents, Farm Products",Only grain buyers 
1225,Purchasing agents and officers,*,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Only purchasing agents and officers, excluding grain buyers"
1226,Conference and event planners,,13-1121,"Meeting, Convention, and Event Planners",
1227,Court officers and justices of the peace,*,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","Only judicial administrators and officers involved in court related duties, including justices of the peace "
1227,Court officers and justices of the peace,*,43-4031,"Court, Municipal, and License Clerks","Excluding judicial administrators and officers involved in court related duties, also excluding justices of the peace "
1228,"Employment insurance, immigration, border services and revenue officers",*,13-2081,"Tax Examiners and Collectors, and Revenue Agents","Only agents, collectors, examiners, inspectors and officers in taxation and tax revenue"
1228,"Employment insurance, immigration, border services and revenue officers",*,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","Only claims adjudicators, adjudication officers and appeals officers in government benefits services and immigration "
1228,"Employment insurance, immigration, border services and revenue officers",*,33-3051,Police and Sheriff's Patrol Officers,"Only inspectors, officers and examiners in immigration, customs and border services"
1228,"Employment insurance, immigration, border services and revenue officers",*,43-4061,"Eligibility Interviewers, Government Programs","Only agents, investigators and officers in government employment benefits programs, excluding immigration, tax revenue and customs and border services"
1241,Administrative assistants,,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",
1242,Legal Administrative assistants,,43-6012,Legal Secretaries and Administrative Assistants,
1243,Medical administrative assistants,*,31-9094,Medical Transcriptionists,Only medical stenographers
1243,Medical administrative assistants,*,43-6013,Medical Secretaries and Administrative Assistants,Excluding medical stenographers
1251,"Court reporters, medical transcriptionists and related occupations",*,27-3092,Court Reporters and Simultaneous Captioners,"Only court reporters, simultaneous captioners, transcriptionists and transcribers "
1251,"Court reporters, medical transcriptionists and related occupations",*,31-9094,Medical Transcriptionists,Only medical dictatypist and transcriptionists 
1251,"Court reporters, medical transcriptionists and related occupations",*,43-9199,"Office and Administrative Support Workers, All Other",Only transcribers of braille 
1252,Health information management occupations,*,29-2072,Medical Records Specialists,"Only medical records specialists, including medical and health record coders and classifiers"
1252,Health information management occupations,*,29-9021,Health Information Technologists and Medical Registrars,"Only practitioners, professionals, supervisors and technicians of health information management "
1253,Records management technicians,,43-4071,File Clerks,
1254,Statistical officers and related research support occupations,*,19-4061,Social Science Research Assistants,"Only officers, assistants and technicians in social statistical research"
1254,Statistical officers and related research support occupations,*,43-9111,Statistical Assistants,"Only officers and technicians in statistical support, excluding post-secondary"
1311,Accounting technicians and bookkeepers,,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",
1312,Insurance adjusters and claims examiners,*,13-1031,"Claims Adjusters, Examiners, and Investigators","Only claims adjusters, examiners, and investigators, excluding automobile damage and claims"
1312,Insurance adjusters and claims examiners,*,13-1032,"Insurance Appraisers, Auto Damage",Only appraisers and adjusters of automobile damage and claims 
1313,Insurance underwriters,,13-2053,Insurance Underwriters,
1314,"Assessors, valuators and appraisers",*,13-2022,Appraisers of Personal and Business Property,"Only assessors, valuators and appraisers of personal and business property, excluding real estate"
1314,"Assessors, valuators and appraisers",*,13-2023,Appraisers and Assessors of Real Estate,"Only appraisers, assessors, and valuators of real estate"
1315,"Customs, ship and other brokers",,13-1199,"Business Operations Specialists, All Other",
1411,General office support workers,*,43-4071,File Clerks,"Only clerks, filers and sorters in files, records, documents and records management "
1411,General office support workers,*,43-4199,"Information and Record Clerks, All Other",Only information and record clerks not accounted for in other relationships between this NOC code and SOC
1411,General office support workers,*,43-9022,Word Processors and Typists,Only clerks and typist in word processing 
1411,General office support workers,*,43-9061,"Office Clerks, General","Only assistants and clerks who provide varied general office support, including course coordination "
1411,General office support workers,*,43-9071,"Office Machine Operators, Except Computer","Only operators of office machines, excluding computers"
1411,General office support workers,*,43-9199,"Office and Administrative Support Workers, All Other",Only office and administrative support workers not accounted for in other relationships between this NOC code and SOC
1414,Receptionists,*,43-2011,"Switchboard Operators, Including Answering Service",Only operators of answering services and telephone switchboards 
1414,Receptionists,*,43-2021,Telephone Operators,"Only operators in information answering services, and telephone system directory assistance "
1414,Receptionists,*,43-2099,"Communications Equipment Operators, All Other",Only radio operators 
1414,Receptionists,*,43-4171,Receptionists and Information Clerks,Only receptionists and information clerks
1415,Personnel clerks,,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",
1416,Court clerks,*,23-1012,Judicial Law Clerks,Only clerks who assist judges and perform support functions in courts of law 
1416,Court clerks,*,43-4031,"Court, Municipal, and License Clerks","Only court (excluding judicial law), municipal, and license clerks"
1422,Data entry clerks,,43-9021,Data Entry Keyers,
1423,Desktop publishing operators and related occupations,*,43-9031,Desktop Publishers,Only desktop publishing operators
1423,Desktop publishing operators and related occupations,*,51-5111,Prepress Technicians and Workers,Only operators of input and output typesetting equipment and machines 
1431,Accounting and related clerks,*,13-2082,Tax Preparers,Only preparers of income tax returns
1431,Accounting and related clerks,*,43-3021,Billing and Posting Clerks,Only billing and posting clerks
1431,Accounting and related clerks,*,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Only clerks and assistants in accounting and auditing
1432,Payroll administrators,,43-3051,Payroll and Timekeeping Clerks,
1434,"Banking, insurance and other financial clerks",*,43-3021,Billing and Posting Clerks,Only clerks in banking 
1434,"Banking, insurance and other financial clerks",*,43-3099,"Financial Clerks, All Other",Only financial clerks not accounted for in other relationships between this NOC code and SOC
1434,"Banking, insurance and other financial clerks",*,43-4011,Brokerage Clerks,Only clerks in security brokerage services 
1434,"Banking, insurance and other financial clerks",*,43-4041,"Credit Authorizers, Checkers, and Clerks",Only clerks in credit assessment and authorization 
1434,"Banking, insurance and other financial clerks",*,43-4131,Loan Interviewers and Clerks,"Only officers, agents and clerks who process loan applications "
1434,"Banking, insurance and other financial clerks",*,43-9041,Insurance Claims and Policy Processing Clerks,Only clerks and raters in insurance 
1435,Collectors,,43-3011,Bill and Account Collectors,
1451,Library assistants and clerks,,43-4121,"Library Assistants, Clerical",
1452,"Correspondence, publication and regulatory clerks",*,43-4021,Correspondence Clerks,Only assistants and clerks in correspondence 
1452,"Correspondence, publication and regulatory clerks",*,43-4031,"Court, Municipal, and License Clerks",Only clerks and issuers performing duties specific to municipalities and government licensing agencies and bureaus 
1452,"Correspondence, publication and regulatory clerks",*,43-9081,Proofreaders and Copy Markers,"Only clerks, clippers, assistants, holders and readers editorial and publication"
1454,Survey interviewers and statistical clerks,*,43-4111,"Interviewers, Except Eligibility and Loan",Only interviewers for surveys 
1454,Survey Interviewers and statistical clerks,*,43-5041,"Meter Readers, Utilities",Only readers of meters 
1454,Survey Interviewers and statistical clerks,*,43-9111,Statistical Assistants,Only statistical clerks and assistants
1511,"Mail, postal and related workers",*,43-5051,Postal Service Clerks,Only postal workers who provide postal service
1511,"Mail, postal and related workers",*,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Only mail sorters, processors and processing machine operators in postal service"
1511,"Mail, postal and related workers",*,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service","Only clerks in mail services, sorting and processing and tenders and operators of mail processing machines, except postal service "
1512,Letter carriers,,43-5052,Postal Service Mail Carriers,
1513,"Couriers, messengers and door-to-door distributors",*,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Only distributors of door-to-door newspaper delivery, flyers, telephone directories and similar products"
1513,"Couriers, messengers and door-to-door distributors",*,43-5021,Couriers and Messengers,Only couriers and messengers
1521,Shippers and receivers,,43-5071,"Shipping, Receiving, and Inventory Clerks",
1522,Storekeepers and partspersons,*,41-2022,Parts Salespersons,Only clerks and parts persons in retail sales 
1522,Storekeepers and partspersons,*,53-7065,Stockers and Order Fillers,"Only stockers and order fillers in warehouses, stockrooms and storage yards"
1523,Production logistics co-ordinators,,43-5061,"Production, Planning, and Expediting Clerks",
1524,Purchasing and inventory control workers,*,43-3061,Procurement Clerks,Only clerks and assistants in procurement and purchasing
1524,Purchasing and inventory control workers,*,43-5071,"Shipping, Receiving, and Inventory Clerks",Only clerks related to inventory and inventory control clerks 
1525,Dispatchers,*,43-5031,Public Safety Telecommunicators,Only dispatchers and operators in public safety and emergency operations centres 
1525,Dispatchers,*,43-5032,"Dispatchers, Except Police, Fire, and Ambulance","Only dispatchers and operators, excluding public safety and emergency operations "
1526,Transportation route and crew schedulers,,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",
2111,Physicists and astronomers,*,19-1021,Biochemists and Biophysicists,Only physicists specializing in biophysics and related fields 
2111,Physicists and astronomers,*,19-2011,Astronomers,Only astronomers
2111,Physicists and astronomers,*,19-2012,Physicists,"Excluding physicists specializing in biophysics, atmospheric and space science "
2111,Physicists and astronomers,*,19-2021,Atmospheric and Space Scientists,"Only physicists specializing in atmospheric, space science and related fields "
2112,Chemists,*,19-1021,Biochemists and Biophysicists,Only chemists specializing in biochemistry and related fields 
2112,Chemists,*,19-2021,Atmospheric and Space Scientists,Only chemists specializing in atmospheric chemistry
2112,Chemists,*,19-2031,Chemists,Excluding chemists specializing in atmospheric chemistry and biochemistry
2113,Geoscientists and oceanographers,*,19-2042,"Geoscientists, Except Hydrologists and Geographers","Only geoscientists and oceanographers, excluding specialists in hydrology "
2113,Geoscientists and oceanographers,*,19-2043,Hydrologists,Only scientists specializing in hydrology 
2114,Meteorologists and climatologists,,19-2021,Atmospheric and Space Scientists,
2115,Other professional occupations in physical sciences,*,19-1013,Soil and Plant Scientists,Only scientists of soil 
2115,Other professional occupations in physical sciences,*,19-2032,Materials Scientists,"Only scientists specializing in material science, including metallurgy "
2115,Other professional occupations in physical sciences,*,19-2099,"Physical Scientists, All Other",Only physical scientists not accounted for in other relationships between this NOC code and SOC
2121,Biologists and related scientists,*,19-1011,Animal Scientists,Only biologists and related scientists specializing in domestic animals science 
2121,Biologists and related scientists,*,19-1012,Food Scientists and Technologists,Only biologists and related scientists specializing in food science 
2121,Biologists and related scientists,*,19-1013,Soil and Plant Scientists,"Only biologists and related scientists specializing in soil and plant sciences, including trees"
2121,Biologists and related scientists,*,19-1022,Microbiologists,"Only biologists, microbiologists and related scientists specializing in microbiology "
2121,Biologists and related scientists,*,19-1023,Zoologists and Wildlife Biologists,Only biologists and related scientists specializing in zoology and wildlife biology
2121,Biologists and related scientists,*,19-1029,"Biological Scientists, All Other","Only biologists and related scientists not specializing in domestic animals science, food science, microbiology, zoology and wildlife biology, environmental studies and soil and plant sciences, including trees"
2121,Biologists and related scientists,*,19-2041,"Environmental Scientists and Specialists, Including Health",Only biologists and related scientists specializing in environmental studies
2122,Forestry professionals,,19-1032,Foresters,
2123,"Agricultural representatives, consultants and specialists",*,19-1031,Conservation Scientists,"Only agricultural representatives, consultants and specialists in farmland management, agriculture production and natural resource protection"
2123,"Agricultural representatives, consultants and specialists",*,25-9021,Farm and Home Management Educators,Only farm management and extension services consultants and specialists
2131,Civil engineers,*,17-2051,Civil Engineers,Only civil engineers not elsewhere classified
2131,Civil engineers,*,17-2081,Environmental Engineers,"Only civil engineers specializing in environmental, including remedial, reclamation, sanitation and water resources management"
2132,Mechanical engineers,*,17-2141,Mechanical Engineers,Only mechanical engineers not accounted for in other relationships between this NOC code and SOC
2132,Mechanical engineers,*,17-2161,Nuclear Engineers,Only mechanical engineers specializing in nuclear engineering
2133,Electrical and electronics engineers,*,17-2071,Electrical Engineers,Only electrical engineers
2133,Electrical and electronics engineers,*,17-2072,"Electronics Engineers, Except Computer","Only electronics engineers, excluding computer engineers"
2134,Chemical engineers,*,17-2031,Bioengineers and Biomedical Engineers,Only chemical engineers specializing in biochemical and biotechnical engineering
2134,Chemical engineers,*,17-2041,Chemical Engineers,Only chemical engineers not accounted for in other relationships between this NOC code and SOC
2141,Industrial and manufacturing engineers,*,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Only industrial and manufacturing engineers specializing in health and safety 
2141,Industrial and manufacturing engineers,*,17-2112,Industrial Engineers,Only industrial and manufacturing engineers not accounted for in other relationships between this NOC code and SOC
2142,Metallurgical and materials engineers,,17-2131,Materials Engineers,
2143,Mining engineers,,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",
2144,Geological engineers,,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",
2145,Petroleum engineers,,17-2171,Petroleum Engineers,
2146,Aerospace engineers,,17-2011,Aerospace Engineers,
2147,Computer engineers (except software engineers and designers),*,15-1241,Computer Network Architects,Only computer engineers specializing in network design and architect
2147,Computer engineers (except software engineers and designers),*,17-2061,Computer Hardware Engineers,Only computer engineers specializing in computer hardware and related equipment
2147,Computer engineers (except software engineers and designers),*,17-2072,"Electronics Engineers, Except Computer",Only computer engineers specializing in telecommunications and aerospace 
2148,"Other professional engineers, n.e.c.",*,17-2021,Agricultural Engineers,"Only engineers in agriculture, including agro processing and agronomy"
2148,"Other professional engineers, n.e.c.",*,17-2031,Bioengineers and Biomedical Engineers,Only engineers specializing in biomedical engineering
2148,"Other professional engineers, n.e.c.",*,17-2121,Marine Engineers and Naval Architects,"Only engineers specializing in marine and naval, including naval architects "
2148,"Other professional engineers, n.e.c.",*,17-2199,"Engineers, All Other",Only professional engineers not accounted for in other relationships between this NOC code and other SOC codes
2151,Architects,,17-1011,"Architects, Except Landscape and Naval",
2152,Landscape architects,,17-1012,Landscape Architects,
2153,Urban and land use planners,,19-3051,Urban and Regional Planners,
2154,Land surveyors,,17-1022,Surveyors,
2161,"Mathematicians, statisticians and actuaries",*,15-2011,Actuaries,Only actuaries
