noc_plus_title,noc_2021,noc2021_title,herf_score,herf_cat
00018: Senior managers - public and private sector,00018,Senior managers - public and private sector,0.5,strong
10010: Financial managers,10010,Financial managers,0.3333333333333333,strong
10011: Human resources managers,10011,Human resources managers,0.3333333333333333,strong
10012: Purchasing managers,10012,Purchasing managers,1,strong
10019: Other administrative services managers,10019,Other administrative services managers,0.3609467455621302,strong
"10020: Insurance, real estate and financial brokerage managers",10020,"Insurance, real estate and financial brokerage managers",0.25333333333333335,strong
"10021: Banking, credit and other investment managers",10021,"Banking, credit and other investment managers",0.3333333333333333,strong
"10022: Advertising, marketing and public relations managers",10022,"Advertising, marketing and public relations managers",0.23966942148760334,strong
10029: Other business services managers,10029,Other business services managers,0.16666666666666666,strong
10030: Telecommunication carriers managers,10030,Telecommunication carriers managers,1,strong
11100: Financial auditors and accountants,11100,Financial auditors and accountants,0.2653061224489796,strong
11102: Financial advisors,11102,Financial advisors,0.25,strong
"11103: Securities agents, investment dealers and brokers",11103,"Securities agents, investment dealers and brokers",1,strong
11109: Other financial officers,11109,Other financial officers,0.25,strong
11200: Human resources professionals,11200,Human resources professionals,0.185595567867036,strong
11201: Professional occupations in business management consulting,11201,Professional occupations in business management consulting,1,strong
"11202: Professional occupations in advertising, marketing and public relations",11202,"Professional occupations in advertising, marketing and public relations",0.25308641975308643,strong
"12010: Supervisors, general office and administrative support workers",12010,"Supervisors, general office and administrative support workers",1,strong
"12011: Supervisors, finance and insurance office workers",12011,"Supervisors, finance and insurance office workers",1,strong
"12012: Supervisors, library, correspondence and related information workers",12012,"Supervisors, library, correspondence and related information workers",1,strong
"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",0.26530612244897955,strong
12100: Executive assistants,12100,Executive assistants,1,strong
12101: Human resources and recruitment officers,12101,Human resources and recruitment officers,0.5,strong
12102: Procurement and purchasing agents and officers,12102,Procurement and purchasing agents and officers,0.5555555555555556,strong
12103: Conference and event planners,12103,Conference and event planners,1,strong
12104: Employment insurance and revenue officers,12104,Employment insurance and revenue officers,0.2421875,strong
"12110: Court reporters, medical transcriptionists and related occupations",12110,"Court reporters, medical transcriptionists and related occupations",0.5555555555555556,strong
12111: Health information management occupations,12111,Health information management occupations,1,strong
12112: Records management technicians,12112,Records management technicians,1,strong
12113: Statistical officers and related research support occupations,12113,Statistical officers and related research support occupations,0.5,strong
12200: Accounting technicians and bookkeepers,12200,Accounting technicians and bookkeepers,1,strong
12201: Insurance adjusters and claims examiners,12201,Insurance adjusters and claims examiners,0.5,strong
12202: Insurance underwriters,12202,Insurance underwriters,1,strong
"12203: Assessors, business valuators and appraisers",12203,"Assessors, business valuators and appraisers",0.5,strong
13100: Administrative officers,13100,Administrative officers,0.375,strong
