noc_plus_title,noc_2021,noc2021_title,herf_score,herf_cat
13101: Property administrators,13101,Property administrators,0.5,strong
13102: Payroll administrators,13102,Payroll administrators,1,strong
13110: Administrative assistants,13110,Administrative assistants,0.3877551020408163,strong
13111: Legal administrative assistants,13111,Legal administrative assistants,1,strong
13112: Medical administrative assistants,13112,Medical administrative assistants,0.5555555555555556,strong
"13200: Customs, ship and other brokers",13200,"Customs, ship and other brokers",0.25,strong
13201: Production and transportation logistics coordinators,13201,Production and transportation logistics coordinators,0.25925925925925924,strong
14100: General office support workers,14100,General office support workers,0.3333333333333333,strong
14101: Receptionists,14101,Receptionists,0.3333333333333333,strong
14102: Personnel clerks,14102,Personnel clerks,1,strong
14103: Court clerks and related court services occupations,14103,Court clerks and related court services occupations,0.57396449704142,strong
14110: Survey interviewers and statistical clerks,14110,Survey interviewers and statistical clerks,0.5,strong
14111: Data entry clerks,14111,Data entry clerks,1,strong
14112: Desktop publishing operators and related occupations,14112,Desktop publishing operators and related occupations,0.5555555555555556,strong
14200: Accounting and related clerks,14200,Accounting and related clerks,0.375,strong
"14201: Banking, insurance and other financial clerks",14201,"Banking, insurance and other financial clerks",0.21875,strong
14202: Collection clerks,14202,Collection clerks,1,strong
14300: Library assistants and clerks,14300,Library assistants and clerks,1,strong
"14301: Correspondence, publication and regulatory clerks",14301,"Correspondence, publication and regulatory clerks",0.5,strong
14400: Shippers and receivers,14400,Shippers and receivers,1,strong
14401: Storekeepers and partspersons,14401,Storekeepers and partspersons,0.5555555555555556,strong
14402: Production logistics workers,14402,Production logistics workers,1,strong
14403: Purchasing and inventory control workers,14403,Purchasing and inventory control workers,0.5555555555555556,strong
14404: Dispatchers,14404,Dispatchers,1,strong
14405: Transportation route and crew schedulers,14405,Transportation route and crew schedulers,1,strong
20010: Engineering managers,20010,Engineering managers,0.5,strong
20011: Architecture and science managers,20011,Architecture and science managers,0.18518518518518517,strong
20012: Computer and information systems managers,20012,Computer and information systems managers,1,strong
21100: Physicists and astronomers,21100,Physicists and astronomers,0.35999999999999993,strong
21101: Chemists,21101,Chemists,0.5555555555555556,strong
21102: Geoscientists and oceanographers,21102,Geoscientists and oceanographers,0.5,strong
21103: Meteorologists and climatologists,21103,Meteorologists and climatologists,1,strong
21109: Other professional occupations in physical sciences,21109,Other professional occupations in physical sciences,0.5,strong
21110: Biologists and related scientists,21110,Biologists and related scientists,0.0858725761772853,weak
21111: Forestry professionals,21111,Forestry professionals,1,strong
"21112: Agricultural representatives, consultants and specialists",21112,"Agricultural representatives, consultants and specialists",0.3333333333333333,strong
21120: Public and environmental health and safety professionals,21120,Public and environmental health and safety professionals,0.5555555555555556,strong
21200: Architects,21200,Architects,1,strong
21201: Landscape architects,21201,Landscape architects,1,strong
21202: Urban and land use planners,21202,Urban and land use planners,1,strong
21203: Land surveyors,21203,Land surveyors,0.5,strong
"21210: Mathematicians, statisticians and actuaries",21210,"Mathematicians, statisticians and actuaries",0.16666666666666669,strong
21211: Data scientists,21211,Data scientists,0.14792899408284024,weak
21220: Cybersecurity specialists,21220,Cybersecurity specialists,0.3333333333333333,strong
21221: Business systems specialists,21221,Business systems specialists,0.3333333333333333,strong
21222: Information systems specialists,21222,Information systems specialists,0.3333333333333333,strong
21223: Database analysts and data administrators,21223,Database analysts and data administrators,0.20000000000000004,strong
21230: Computer systems developers and programmers,21230,Computer systems developers and programmers,0.5555555555555556,strong
21231: Software engineers and designers,21231,Software engineers and designers,0.5555555555555556,strong
21232: Software developers and programmers,21232,Software developers and programmers,0.5555555555555556,strong
21233: Web designers,21233,Web designers,0.2421875,strong
21234: Web developers and programmers,21234,Web developers and programmers,0.34375,strong
21300: Civil engineers,21300,Civil engineers,0.25,strong
21301: Mechanical engineers,21301,Mechanical engineers,0.25,strong
21310: Electrical and electronics engineers,21310,Electrical and electronics engineers,0.375,strong
21311: Computer engineers (except software engineers and designers),21311,Computer engineers (except software engineers and designers),0.21875,strong
21320: Chemical engineers,21320,Chemical engineers,0.5555555555555556,strong
21321: Industrial and manufacturing engineers,21321,Industrial and manufacturing engineers,0.16666666666666666,strong
21322: Metallurgical and materials engineers,21322,Metallurgical and materials engineers,1,strong
21330: Mining engineers,21330,Mining engineers,1,strong
21331: Geological engineers,21331,Geological engineers,1,strong
21332: Petroleum engineers,21332,Petroleum engineers,1,strong
21390: Aerospace engineers,21390,Aerospace engineers,1,strong
21399: Other professional engineers,21399,Other professional engineers,0.10000000000000002,weak
22100: Chemical technologists and technicians,22100,Chemical technologists and technicians,0.1875,strong
22101: Geological and mineral technologists and technicians,22101,Geological and mineral technologists and technicians,1,strong
22110: Biological technologists and technicians,22110,Biological technologists and technicians,0.3333333333333333,strong
22111: Agricultural and fish products inspectors,22111,Agricultural and fish products inspectors,1,strong
22112: Forestry technologists and technicians,22112,Forestry technologists and technicians,0.5,strong
22113: Conservation and fishery officers,22113,Conservation and fishery officers,1,strong
22114: Landscape and horticulture technicians and specialists,22114,Landscape and horticulture technicians and specialists,0.5,strong
22210: Architectural technologists and technicians,22210,Architectural technologists and technicians,1,strong
22211: Industrial designers,22211,Industrial designers,1,strong
22212: Drafting technologists and technicians,22212,Drafting technologists and technicians,0.5,strong
22213: Land survey technologists and technicians,22213,Land survey technologists and technicians,1,strong
22214: Technical occupations in geomatics and meteorology,22214,Technical occupations in geomatics and meteorology,0.28,strong
22220: Computer network and web technicians,22220,Computer network and web technicians,0.125,weak
22221: User support technicians,22221,User support technicians,1,strong
22222: Information systems testing technicians,22222,Information systems testing technicians,1,strong
22230: Non-destructive testers and inspectors,22230,Non-destructive testers and inspectors,0.5,strong
22231: Engineering inspectors and regulatory officers,22231,Engineering inspectors and regulatory officers,0.10249307479224377,weak
22232: Occupational health and safety specialists,22232,Occupational health and safety specialists,0.2222222222222222,strong
22233: Construction inspectors,22233,Construction inspectors,0.5,strong
22300: Civil engineering technologists and technicians,22300,Civil engineering technologists and technicians,0.25,strong
22301: Mechanical engineering technologists and technicians,22301,Mechanical engineering technologists and technicians,0.16000000000000003,weak
22302: Industrial engineering and manufacturing technologists and technicians,22302,Industrial engineering and manufacturing technologists and technicians,0.3333333333333333,strong
22303: Construction estimators,22303,Construction estimators,1,strong
22310: Electrical and electronics engineering technologists and technicians,22310,Electrical and electronics engineering technologists and technicians,0.21875,strong
22311: Electronic service technicians (household and business equipment),22311,Electronic service technicians (household and business equipment),0.14049586776859502,weak
"22313: Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1,strong
30010: Managers in health care,30010,Managers in health care,1,strong
31100: Specialists in clinical and laboratory medicine,31100,Specialists in clinical and laboratory medicine,0.058823529411764705,weak
31101: Specialists in surgery,31101,Specialists in surgery,0.058823529411764705,weak
31102: General practitioners and family physicians,31102,General practitioners and family physicians,1,strong
31103: Veterinarians,31103,Veterinarians,0.625,strong
31110: Dentists,31110,Dentists,0.25,strong
31111: Optometrists,31111,Optometrists,1,strong
31112: Audiologists and speech-language pathologists,31112,Audiologists and speech-language pathologists,0.5,strong
31120: Pharmacists,31120,Pharmacists,0.5555555555555556,strong
31121: Dietitians and nutritionists,31121,Dietitians and nutritionists,1,strong
31200: Psychologists,31200,Psychologists,0.20000000000000004,strong
31201: Chiropractors,31201,Chiropractors,1,strong
31202: Physiotherapists,31202,Physiotherapists,1,strong
31203: Occupational therapists,31203,Occupational therapists,0.5,strong
31204: Kinesiologists and other professional occupations in therapy and assessment,31204,Kinesiologists and other professional occupations in therapy and assessment,0.25,strong
31209: Other professional occupations in health diagnosing and treating,31209,Other professional occupations in health diagnosing and treating,0.375,strong
31300: Nursing coordinators and supervisors,31300,Nursing coordinators and supervisors,0.20000000000000004,strong
31301: Registered nurses and registered psychiatric nurses,31301,Registered nurses and registered psychiatric nurses,0.20000000000000004,strong
31302: Nurse practitioners,31302,Nurse practitioners,0.21875,strong
"31303: Physician assistants, midwives and allied health professionals",31303,"Physician assistants, midwives and allied health professionals",0.0848,weak
32100: Opticians,32100,Opticians,1,strong
32101: Licensed practical nurses,32101,Licensed practical nurses,0.5555555555555556,strong
32102: Paramedical occupations,32102,Paramedical occupations,1,strong
"32103: Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0.1564625850340136,weak
32104: Animal health technologists and veterinary technicians,32104,Animal health technologists and veterinary technicians,0.5,strong
32109: Other technical occupations in therapy and assessment,32109,Other technical occupations in therapy and assessment,0.080078125,weak
32110: Denturists,32110,Denturists,1,strong
32111: Dental hygienists and dental therapists,32111,Dental hygienists and dental therapists,1,strong
32112: Dental technologists and technicians,32112,Dental technologists and technicians,1,strong
32120: Medical laboratory technologists,32120,Medical laboratory technologists,0.25,strong
32121: Medical radiation technologists,32121,Medical radiation technologists,0.20000000000000004,strong
32122: Medical sonographers,32122,Medical sonographers,1,strong
32123: Cardiology technologists and electrophysiological diagnostic technologists,32123,Cardiology technologists and electrophysiological diagnostic technologists,0.25925925925925924,strong
32124: Pharmacy technicians,32124,Pharmacy technicians,0.20000000000000004,strong
32129: Other medical technologists and technicians,32129,Other medical technologists and technicians,0.20000000000000004,strong
32200: Traditional Chinese medicine practitioners and acupuncturists,32200,Traditional Chinese medicine practitioners and acupuncturists,0.22448979591836732,strong
32201: Massage therapists,32201,Massage therapists,1,strong
32209: Other practitioners of natural healing,32209,Other practitioners of natural healing,0.22448979591836732,strong
33100: Dental assistants and dental laboratory assistants,33100,Dental assistants and dental laboratory assistants,1,strong
33101: Medical laboratory assistants and related technical occupations,33101,Medical laboratory assistants and related technical occupations,0.3333333333333333,strong
"33102: Nurse aides, orderlies and patient service associates",33102,"Nurse aides, orderlies and patient service associates",0.3333333333333333,strong
33103: Pharmacy technical assistants and pharmacy assistants,33103,Pharmacy technical assistants and pharmacy assistants,0.08333333333333333,weak
33109: Other assisting occupations in support of health services,33109,Other assisting occupations in support of health services,0.08680142687277051,weak
40010: Government managers - health and social policy development and program administration,40010,Government managers - health and social policy development and program administration,1,strong
"40011: Government managers - economic analysis, policy development and program administration",40011,"Government managers - economic analysis, policy development and program administration",1,strong
40012: Government managers - education policy development and program administration,40012,Government managers - education policy development and program administration,1,strong
40019: Other managers in public administration,40019,Other managers in public administration,1,strong
40020: Administrators - post-secondary education and vocational training,40020,Administrators - post-secondary education and vocational training,1,strong
40021: School principals and administrators of elementary and secondary education,40021,School principals and administrators of elementary and secondary education,0.59375,strong
"40030: Managers in social, community and correctional services",40030,"Managers in social, community and correctional services",0.5,strong
40040: Commissioned police officers and related occupations in public protection services,40040,Commissioned police officers and related occupations in public protection services,1,strong
40041: Fire chiefs and senior firefighting officers,40041,Fire chiefs and senior firefighting officers,1,strong
40042: Commissioned officers of the Canadian Armed Forces,40042,Commissioned officers of the Canadian Armed Forces,1,strong
41100: Judges,41100,Judges,1,strong
41101: Lawyers and Quebec notaries,41101,Lawyers and Quebec notaries,1,strong
41200: University professors and lecturers,41200,University professors and lecturers,0.03140978816654493,weak
41201: Post-secondary teaching and research assistants,41201,Post-secondary teaching and research assistants,0.3333333333333333,strong
41210: College and other vocational instructors,41210,College and other vocational instructors,0.03183673469387755,weak
41220: Secondary school teachers,41220,Secondary school teachers,0.3333333333333333,strong
41221: Elementary school and kindergarten teachers,41221,Elementary school and kindergarten teachers,0.16666666666666666,strong
41300: Social workers,41300,Social workers,0.3333333333333333,strong
41301: Therapists in counselling and related specialized therapies,41301,Therapists in counselling and related specialized therapies,0.0737764791818846,weak
41302: Religious leaders,41302,Religious leaders,1,strong
41310: Police investigators and other investigative occupations,41310,Police investigators and other investigative occupations,0.04307582769668922,weak
41311: Probation and parole officers,41311,Probation and parole officers,1,strong
41320: Educational counsellors,41320,Educational counsellors,1,strong
41321: Career development practitioners and career counsellors (except education),41321,Career development practitioners and career counsellors (except education),0.20000000000000004,strong
"41400: Natural and applied science policy researchers, consultants and program officers",41400,"Natural and applied science policy researchers, consultants and program officers",0.07780612244897958,weak
41401: Economists and economic policy researchers and analysts,41401,Economists and economic policy researchers and analysts,0.5,strong
41402: Business development officers and market researchers and analysts,41402,Business development officers and market researchers and analysts,0.5,strong
"41403: Social policy researchers, consultants and program officers",41403,"Social policy researchers, consultants and program officers",0.5555555555555556,strong
"41404: Health policy researchers, consultants and program officers",41404,"Health policy researchers, consultants and program officers",0.2188365650969529,strong
"41405: Education policy researchers, consultants and program officers",41405,"Education policy researchers, consultants and program officers",1,strong
"41406: Recreation, sports and fitness policy researchers, consultants and program officers",41406,"Recreation, sports and fitness policy researchers, consultants and program officers",0.3333333333333333,strong
41407: Program officers unique to government,41407,Program officers unique to government,0.5555555555555556,strong
41409: Other professional occupations in social science,41409,Other professional occupations in social science,0.25,strong
42100: Police officers (except commissioned),42100,Police officers (except commissioned),0.25,strong
42101: Firefighters,42101,Firefighters,0.5,strong
42200: Paralegals and related occupations,42200,Paralegals and related occupations,0.5,strong
42201: Social and community service workers,42201,Social and community service workers,0.375,strong
42202: Early childhood educators and assistants,42202,Early childhood educators and assistants,0.27999999999999997,strong
42203: Instructors of persons with disabilities,42203,Instructors of persons with disabilities,0.5,strong
42204: Religion workers,42204,Religion workers,0.5,strong
43100: Elementary and secondary school teacher assistants,43100,Elementary and secondary school teacher assistants,0.5555555555555556,strong
43109: Other instructors,43109,Other instructors,0.203125,strong
43200: Sheriffs and bailiffs,43200,Sheriffs and bailiffs,0.31360946745562135,strong
43201: Correctional service officers,43201,Correctional service officers,0.5,strong
43202: By-law enforcement and other regulatory officers,43202,By-law enforcement and other regulatory officers,0.13215400624349635,weak
"43203: Border services, customs, and immigration officers",43203,"Border services, customs, and immigration officers",0.2421875,strong
44100: Home child care providers,44100,Home child care providers,0.5,strong
"44101: Home support workers, caregivers and related occupations",44101,"Home support workers, caregivers and related occupations",0.5555555555555556,strong
"45100: Student monitors, crossing guards and related occupations",45100,"Student monitors, crossing guards and related occupations",0.11478420569329661,weak
"50010: Library, archive, museum and art gallery managers",50010,"Library, archive, museum and art gallery managers",1,strong
"50011: Managers - publishing, motion pictures, broadcasting and performing arts",50011,"Managers - publishing, motion pictures, broadcasting and performing arts",1,strong
"50012: Recreation, sports and fitness program and service directors",50012,"Recreation, sports and fitness program and service directors",0.625,strong
51100: Librarians,51100,Librarians,1,strong
51101: Conservators and curators,51101,Conservators and curators,0.5555555555555556,strong
51102: Archivists,51102,Archivists,1,strong
51110: Editors,51110,Editors,1,strong
51111: Authors and writers (except technical),51111,Authors and writers (except technical),0.33333333333333337,strong
51112: Technical writers,51112,Technical writers,0.33333333333333337,strong
51113: Journalists,51113,Journalists,1,strong
"51114: Translators, terminologists and interpreters",51114,"Translators, terminologists and interpreters",1,strong
"51120: Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",0.1875,strong
"51121: Conductors, composers and arrangers",51121,"Conductors, composers and arrangers",1,strong
51122: Musicians and singers,51122,Musicians and singers,1,strong
52100: Library and public archive technicians,52100,Library and public archive technicians,1,strong
52110: Film and video camera operators,52110,Film and video camera operators,1,strong
52111: Graphic arts technicians,52111,Graphic arts technicians,0.375,strong
52112: Broadcast technicians,52112,Broadcast technicians,1,strong
52113: Audio and video recording technicians,52113,Audio and video recording technicians,0.5,strong
52114: Announcers and other broadcasters,52114,Announcers and other broadcasters,0.5555555555555556,strong
"52119: Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",0.13580246913580246,weak
52120: Graphic designers and illustrators,52120,Graphic designers and illustrators,0.375,strong
52121: Interior designers and interior decorators,52121,Interior designers and interior decorators,1,strong
"53100: Registrars, restorers, interpreters and other occupations related to museum and art galleries",53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",0.5200000000000001,strong
53110: Photographers,53110,Photographers,1,strong
"53111: Motion pictures, broadcasting, photography and performing arts assistants and operators",53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",0.375,strong
53120: Dancers,53120,Dancers,1,strong
"53121: Actors, comedians and circus performers",53121,"Actors, comedians and circus performers",0.5555555555555556,strong
"53122: Painters, sculptors and other visual artists",53122,"Painters, sculptors and other visual artists",1,strong
"53123: Theatre, fashion, exhibit and other creative designers",53123,"Theatre, fashion, exhibit and other creative designers",0.2777777777777778,strong
53124: Artisans and craftspersons,53124,Artisans and craftspersons,0.33333333333333337,strong
"53125: Patternmakers - textile, leather and fur products",53125,"Patternmakers - textile, leather and fur products",1,strong
53200: Athletes,53200,Athletes,1,strong
53201: Coaches,53201,Coaches,1,strong
53202: Sports officials and referees,53202,Sports officials and referees,1,strong
"54100: Program leaders and instructors in recreation, sport and fitness",54100,"Program leaders and instructors in recreation, sport and fitness",0.5,strong
55109: Other performers,55109,Other performers,1,strong
60010: Corporate sales managers,60010,Corporate sales managers,1,strong
60020: Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0.5,strong
60030: Restaurant and food service managers,60030,Restaurant and food service managers,1,strong
60031: Accommodation service managers,60031,Accommodation service managers,0.3877551020408163,strong
60040: Managers in customer and personal services,60040,Managers in customer and personal services,0.5,strong
62010: Retail sales supervisors,62010,Retail sales supervisors,0.2345679012345679,strong
62020: Food service supervisors,62020,Food service supervisors,1,strong
62021: Executive housekeepers,62021,Executive housekeepers,1,strong
"62022: Accommodation, travel, tourism and related services supervisors",62022,"Accommodation, travel, tourism and related services supervisors",0.625,strong
62023: Customer and information services supervisors,62023,Customer and information services supervisors,1,strong
62024: Cleaning supervisors,62024,Cleaning supervisors,1,strong
62029: Other services supervisors,62029,Other services supervisors,0.625,strong
62100: Technical sales specialists - wholesale trade,62100,Technical sales specialists - wholesale trade,0.25925925925925924,strong
62101: Retail and wholesale buyers,62101,Retail and wholesale buyers,0.5555555555555556,strong
62200: Chefs,62200,Chefs,1,strong
62201: Funeral directors and embalmers,62201,Funeral directors and embalmers,0.3333333333333333,strong
"62202: Jewellers, jewellery and watch repairers and related occupations",62202,"Jewellers, jewellery and watch repairers and related occupations",0.3333333333333333,strong
63100: Insurance agents and brokers,63100,Insurance agents and brokers,0.625,strong
63101: Real estate agents and salespersons,63101,Real estate agents and salespersons,0.5200000000000001,strong
63102: Financial sales representatives,63102,Financial sales representatives,0.21875,strong
63200: Cooks,63200,Cooks,0.25,strong
63201: Butchers - retail and wholesale,63201,Butchers - retail and wholesale,0.625,strong
63202: Bakers,63202,Bakers,1,strong
63210: Hairstylists and barbers,63210,Hairstylists and barbers,0.5555555555555556,strong
"63211: Estheticians, electrologists and related occupations",63211,"Estheticians, electrologists and related occupations",0.3333333333333333,strong
63220: Shoe repairers and shoemakers,63220,Shoe repairers and shoemakers,1,strong
63221: Upholsterers,63221,Upholsterers,1,strong
64100: Retail salespersons and visual merchandisers,64100,Retail salespersons and visual merchandisers,0.2465373961218837,strong
64101: Sales and account representatives - wholesale trade (non-technical),64101,Sales and account representatives - wholesale trade (non-technical),0.5555555555555556,strong
"64200: Tailors, dressmakers, furriers and milliners",64200,"Tailors, dressmakers, furriers and milliners",1,strong
"64201: Image, social and other personal consultants",64201,"Image, social and other personal consultants",0.5200000000000001,strong
64300: Maîtres d'hôtel and hosts/hostesses,64300,Maîtres d'hôtel and hosts/hostesses,1,strong
64301: Bartenders,64301,Bartenders,1,strong
64310: Travel counsellors,64310,Travel counsellors,1,strong
64311: Pursers and flight attendants,64311,Pursers and flight attendants,0.3125,strong
64312: Airline ticket and service agents,64312,Airline ticket and service agents,0.3333333333333333,strong
"64313: Ground and water transport ticket agents, cargo service representatives and related clerks",64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",0.3333333333333333,strong
64314: Hotel front desk clerks,64314,Hotel front desk clerks,0.5,strong
64320: Tour and travel guides,64320,Tour and travel guides,0.5200000000000001,strong
64321: Casino workers,64321,Casino workers,0.3333333333333333,strong
64322: Outdoor sport and recreational guides,64322,Outdoor sport and recreational guides,0.5200000000000001,strong
64400: Customer services representatives - financial institutions,64400,Customer services representatives - financial institutions,1,strong
64401: Postal services representatives,64401,Postal services representatives,0.3333333333333333,strong
64409: Other customer and information services representatives,64409,Other customer and information services representatives,0.3125,strong
64410: Security guards and related security service occupations,64410,Security guards and related security service occupations,0.13888888888888892,weak
65100: Cashiers,65100,Cashiers,0.5555555555555556,strong
65101: Service station attendants,65101,Service station attendants,1,strong
"65102: Store shelf stockers, clerks and order fillers",65102,"Store shelf stockers, clerks and order fillers",0.5200000000000001,strong
65109: Other sales related occupations,65109,Other sales related occupations,0.5,strong
65200: Food and beverage servers,65200,Food and beverage servers,0.5,strong
"65201: Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",0.16666666666666666,strong
65202: Meat cutters and fishmongers - retail and wholesale,65202,Meat cutters and fishmongers - retail and wholesale,0.625,strong
"65210: Support occupations in accommodation, travel and facilities set-up services",65210,"Support occupations in accommodation, travel and facilities set-up services",0.5,strong
"65211: Operators and attendants in amusement, recreation and sport",65211,"Operators and attendants in amusement, recreation and sport",0.5555555555555557,strong
65220: Pet groomers and animal care workers,65220,Pet groomers and animal care workers,0.625,strong
65310: Light duty cleaners,65310,Light duty cleaners,0.5555555555555556,strong
65311: Specialized cleaners,65311,Specialized cleaners,0.3333333333333333,strong
"65312: Janitors, caretakers and heavy-duty cleaners",65312,"Janitors, caretakers and heavy-duty cleaners",0.5555555555555556,strong
"65320: Dry cleaning, laundry and related occupations",65320,"Dry cleaning, laundry and related occupations",0.5,strong
65329: Other service support occupations,65329,Other service support occupations,0.1379591836734694,weak
70010: Construction managers,70010,Construction managers,1,strong
70011: Home building and renovation managers,70011,Home building and renovation managers,1,strong
70012: Facility operation and maintenance managers,70012,Facility operation and maintenance managers,0.15680473372781067,weak
70020: Managers in transportation,70020,Managers in transportation,0.5,strong
70021: Postal and courier services managers,70021,Postal and courier services managers,1,strong
"72010: Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0.35185185185185175,strong
"72011: Contractors and supervisors, electrical trades and telecommunications occupations",72011,"Contractors and supervisors, electrical trades and telecommunications occupations",0.41836734693877564,strong
"72012: Contractors and supervisors, pipefitting trades",72012,"Contractors and supervisors, pipefitting trades",0.5,strong
"72013: Contractors and supervisors, carpentry trades",72013,"Contractors and supervisors, carpentry trades",0.5,strong
"72014: Contractors and supervisors, other construction trades, installers, repairers and servicers",72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",0.41836734693877564,strong
"72020: Contractors and supervisors, mechanic trades",72020,"Contractors and supervisors, mechanic trades",1,strong
"72021: Contractors and supervisors, heavy equipment operator crews",72021,"Contractors and supervisors, heavy equipment operator crews",0.26530612244897955,strong
"72022: Supervisors, printing and related occupations",72022,"Supervisors, printing and related occupations",1,strong
"72023: Supervisors, railway transport operations",72023,"Supervisors, railway transport operations",0.5555555555555556,strong
"72024: Supervisors, motor transport and other ground transit operators",72024,"Supervisors, motor transport and other ground transit operators",0.5,strong
"72025: Supervisors, mail and message distribution occupations",72025,"Supervisors, mail and message distribution occupations",1,strong
72100: Machinists and machining and tooling inspectors,72100,Machinists and machining and tooling inspectors,0.6800000000000002,strong
72101: Tool and die makers,72101,Tool and die makers,0.3333333333333333,strong
72102: Sheet metal workers,72102,Sheet metal workers,1,strong
72103: Boilermakers,72103,Boilermakers,1,strong
72104: Structural metal and platework fabricators and fitters,72104,Structural metal and platework fabricators and fitters,0.5,strong
72105: Ironworkers,72105,Ironworkers,0.5555555555555556,strong
72106: Welders and related machine operators,72106,Welders and related machine operators,0.5,strong
72200: Electricians (except industrial and power system),72200,Electricians (except industrial and power system),1,strong
72201: Industrial electricians,72201,Industrial electricians,0.5,strong
72202: Power system electricians,72202,Power system electricians,1,strong
72203: Electrical power line and cable workers,72203,Electrical power line and cable workers,1,strong
72204: Telecommunications line and cable installers and repairers,72204,Telecommunications line and cable installers and repairers,1,strong
72205: Telecommunications equipment installation and cable television service technicians,72205,Telecommunications equipment installation and cable television service technicians,0.5555555555555556,strong
72300: Plumbers,72300,Plumbers,0.5,strong
"72301: Steamfitters, pipefitters and sprinkler system installers",72301,"Steamfitters, pipefitters and sprinkler system installers",0.5,strong
72302: Gas fitters,72302,Gas fitters,0.3388429752066116,strong
72310: Carpenters,72310,Carpenters,1,strong
72311: Cabinetmakers,72311,Cabinetmakers,1,strong
72320: Bricklayers,72320,Bricklayers,0.3333333333333333,strong
72321: Insulators,72321,Insulators,0.5,strong
72400: Construction millwrights and industrial mechanics,72400,Construction millwrights and industrial mechanics,0.3333333333333333,strong
72401: Heavy-duty equipment mechanics,72401,Heavy-duty equipment mechanics,0.5555555555555556,strong
"72402: Heating, refrigeration and air conditioning mechanics",72402,"Heating, refrigeration and air conditioning mechanics",1,strong
72403: Railway carmen/women,72403,Railway carmen/women,1,strong
72404: Aircraft mechanics and aircraft inspectors,72404,Aircraft mechanics and aircraft inspectors,0.3333333333333333,strong
