onet_soc_code,onet_plus_title,noc_2021,noc_plus_title,equal_weight,path_weight,base_weight,down_weight
11-1011.00,11-1011.00: Chief Executives,00018,00018: Senior managers - public and private sector,0.38461538461538464,0.8333333333333333,0.4,0.4694835680751174
11-1011.03,11-1011.03: Chief Sustainability Officers,00018,00018: Senior managers - public and private sector,0.38461538461538464,0.8333333333333333,0.4,0.4694835680751174
11-9111.00,11-9111.00: Medical and Health Services Managers,00018,00018: Senior managers - public and private sector,0.07692307692307693,0.25,0.12000000000000002,0.04225352112676057
11-1021.00,11-1021.00: General and Operations Managers,00018,00018: Senior managers - public and private sector,0.15384615384615385,0.16666666666666666,0.08,0.018779342723004692
11-3031.00,11-3031.00: Financial Managers,10010,10010: Financial managers,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11-3031.01,11-3031.01: Treasurers and Controllers,10010,10010: Financial managers,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11-3031.03,11-3031.03: Investment Fund Managers,10010,10010: Financial managers,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11-3111.00,11-3111.00: Compensation and Benefits Managers,10011,10011: Human resources managers,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
11-3121.00,11-3121.00: Human Resources Managers,10011,10011: Human resources managers,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
11-3131.00,11-3131.00: Training and Development Managers,10011,10011: Human resources managers,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
11-3061.00,11-3061.00: Purchasing Managers,10012,10012: Purchasing managers,0.5,1,0.96,0.998266897746967
11-1021.00,11-1021.00: General and Operations Managers,10012,10012: Purchasing managers,0.5,0.041666666666666664,0.039999999999999994,0.0017331022530329282
11-9111.00,11-9111.00: Medical and Health Services Managers,10019,10019: Other administrative services managers,0.25,0.25,0.3829787234042553,0.5285481239804242
