noc_2021,noc_plus_title,Herfindahl Index,Distance from centroid,Share of weights reallocated,Scaled Similarity,sort_score
41200,41200: University professors and lecturers,0.04272579772850188,16.374243883668445,0.11690760527969836,0.09310997917818531,0.003978198136872167
41210,41210: College and other vocational instructors,0.04142011834319526,15.115706808416716,0.09084249084249084,0.16865669886009382,0.006985780426157732
31100,31100: Specialists in clinical and laboratory medicine,0.055254804008398925,15.506964940656193,0.03802695726985951,0.13883562530144578,0.007671335265414897
31101,31101: Specialists in surgery,0.055254804008398925,15.506964940656193,0.03802695726985951,0.13883562530144578,0.007671335265414897
21210,"21210: Mathematicians, statisticians and actuaries",0.16099173553719012,17.749830791911048,0.034449760765550265,0.05931276247838413,0.00954886457090019
75110,75110: Construction trades helpers and labourers,0.08760330578512397,15.71613369203494,0.10676982591876209,0.1209429811662569,0.010595004961672093
41310,41310: Police investigators and other investigative occupations,0.044726323841911664,13.81320136471623,0.10737498531118055,0.25016763325373204,0.011189078579671009
65201,"65201: Food counter attendants, kitchen helpers and related support occupations",0.16666666666666666,16.67863042632479,0,0.08515769289587916,0.014192948815979859
73400,73400: Heavy equipment operators,0.20000000000000004,16.88501509222385,0,0.077205406613573,0.015441081322714604
72423,"72423: Motorcycle, all-terrain vehicle and other related mechanics",0.1719150841066786,16.560594954026374,0.17556477639465193,0.09112190760760874,0.015665230410323056
74204,74204: Utility maintenance workers,0.16666666666666666,16.33886910327187,0,0.09509805074876188,0.015849675124793645
73301,"73301: Bus drivers, subway operators and other transit operators",0.2899408284023669,18.130862749151373,0.06593406593406598,0.055336619337231,0.01604434525162319
21301,21301: Mechanical engineers,0.25,17.444205290020196,0,0.06527697719011372,0.01631924429752843
21399,21399: Other professional engineers,0.09577632361689471,15.021153193035467,0.023228803716608636,0.1706447704306704,0.01634372875629859
74205,74205: Public works maintenance equipment operators and related workers,0.25,17.018910609916624,0,0.07322926347241987,0.018307315868104967
42101,42101: Firefighters,0.4074074074074074,19.88053095177987,0.08888888888888885,0.04539626148434839,0.01849477319732712
21300,21300: Civil engineers,0.25,16.90850777623663,0,0.07521733504299644,0.01880433376074911
85101,85101: Harvesting labourers,0.4021477098400175,19.7634369125402,0.188034188034188,0.04937240462550141,0.01985499944944008
41301,41301: Therapists in counselling and related specialized therapies,0.07636205875628047,13.668712090397248,0.08320493066255782,0.26607220581834434,0.02031782141411356
94102,94102: Glass forming and finishing machine operators and glass cutters,0.11562130177514794,14.88789110037559,0.03800904977375564,0.18257319985412968,0.021109351036388724
