noc_plus_title,noc_2021,base_herf,down_herf
00018: Senior managers - public and private sector,00018,0.34080000000000005,0.4429676651458044
10010: Financial managers,10010,0.3333333333333333,0.3333333333333333
10011: Human resources managers,10011,0.3333333333333333,0.3333333333333333
10012: Purchasing managers,10012,0.9232,0.9965398027807728
10019: Other administrative services managers,10019,0.2775011317338162,0.3629064664727532
"10020: Insurance, real estate and financial brokerage managers",10020,0.25333333333333335,0.43859649122807026
"10021: Banking, credit and other investment managers",10021,0.3333333333333333,0.3333333333333333
"10022: Advertising, marketing and public relations managers",10022,0.18131219429920728,0.27498453217955654
10029: Other business services managers,10029,0.16666666666666666,0.16666666666666666
10030: Telecommunication carriers managers,10030,1,1
11100: Financial auditors and accountants,11100,0.23555555555555557,0.48451406194375235
11102: Financial advisors,11102,0.20987654320987653,0.22491349480968859
"11103: Securities agents, investment dealers and brokers",11103,1,1
11109: Other financial officers,11109,0.20987654320987653,0.22491349480968859
11200: Human resources professionals,11200,0.12517357667129536,0.2092093399403759
11201: Professional occupations in business management consulting,11201,1,1
"11202: Professional occupations in advertising, marketing and public relations",11202,0.19287109375,0.23117128665278003
"12010: Supervisors, general office and administrative support workers",12010,1,1
"12011: Supervisors, finance and insurance office workers",12011,1,1
"12012: Supervisors, library, correspondence and related information workers",12012,1,1
"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",12013,0.23246707013171947,0.2765068279515676
12100: Executive assistants,12100,1,1
12101: Human resources and recruitment officers,12101,0.5,0.5
12102: Procurement and purchasing agents and officers,12102,0.5555555555555556,0.6799999999999999
12103: Conference and event planners,12103,1,1
12104: Employment insurance and revenue officers,12104,0.2421875,0.38761706555671177
"12110: Court reporters, medical transcriptionists and related occupations",12110,0.5555555555555556,0.6799999999999999
12111: Health information management occupations,12111,1,1
12112: Records management technicians,12112,1,1
12113: Statistical officers and related research support occupations,12113,0.5,0.5
12200: Accounting technicians and bookkeepers,12200,1,1
12201: Insurance adjusters and claims examiners,12201,0.5,0.5
12202: Insurance underwriters,12202,1,1
"12203: Assessors, business valuators and appraisers",12203,0.5,0.5
13100: Administrative officers,13100,0.29865459730919464,0.4770965693995415
13101: Property administrators,13101,0.5,0.5
13102: Payroll administrators,13102,1,1
13110: Administrative assistants,13110,0.3877551020408163,0.7174515235457063
13111: Legal administrative assistants,13111,1,1
13112: Medical administrative assistants,13112,0.5555555555555556,0.6799999999999999
"13200: Customs, ship and other brokers",13200,0.25,0.25
13201: Production and transportation logistics coordinators,13201,0.19724217178971562,0.34501829495577147
14100: General office support workers,14100,0.26530612244897955,0.2899408284023669
14101: Receptionists,14101,0.3333333333333333,0.3333333333333333
14102: Personnel clerks,14102,1,1
14103: Court clerks and related court services occupations,14103,0.47205707491082044,0.6925556281684422
14110: Survey interviewers and statistical clerks,14110,0.3600000000000001,0.4074074074074074
14111: Data entry clerks,14111,1,1
14112: Desktop publishing operators and related occupations,14112,0.5555555555555556,0.6799999999999999
14200: Accounting and related clerks,14200,0.375,0.5
"14201: Banking, insurance and other financial clerks",14201,0.21875,0.25510204081632654
14202: Collection clerks,14202,1,1
14300: Library assistants and clerks,14300,1,1
"14301: Correspondence, publication and regulatory clerks",14301,0.3877551020408163,0.4515235457063711
14400: Shippers and receivers,14400,1,1
14401: Storekeepers and partspersons,14401,0.5555555555555556,0.6799999999999999
14402: Production logistics workers,14402,1,1
14403: Purchasing and inventory control workers,14403,0.5555555555555556,0.6799999999999999
14404: Dispatchers,14404,0.6800000000000002,0.8892733564013842
14405: Transportation route and crew schedulers,14405,1,1
20010: Engineering managers,20010,0.5,0.5
20011: Architecture and science managers,20011,0.18518518518518517,0.22666666666666666
20012: Computer and information systems managers,20012,1,1
21100: Physicists and astronomers,21100,0.2941176470588235,0.3721799307958477
21101: Chemists,21101,0.4049586776859505,0.5801749271137027
21102: Geoscientists and oceanographers,21102,0.5,0.5
21103: Meteorologists and climatologists,21103,1,1
21109: Other professional occupations in physical sciences,21109,0.3600000000000001,0.4074074074074074
21110: Biologists and related scientists,21110,0.07174515235457064,0.10112878460368806
21111: Forestry professionals,21111,1,1
"21112: Agricultural representatives, consultants and specialists",21112,0.26530612244897955,0.2899408284023669
21120: Public and environmental health and safety professionals,21120,0.5555555555555556,0.6799999999999999
21200: Architects,21200,1,1
21201: Landscape architects,21201,1,1
21202: Urban and land use planners,21202,1,1
21203: Land surveyors,21203,0.5,0.5
"21210: Mathematicians, statisticians and actuaries",21210,0.15235457063711913,0.16099173553719012
21211: Data scientists,21211,0.10847620573626017,0.13398453949019157
21220: Cybersecurity specialists,21220,0.26530612244897955,0.2899408284023669
21221: Business systems specialists,21221,0.26530612244897955,0.2899408284023669
21222: Information systems specialists,21222,0.26530612244897955,0.2899408284023669
21223: Database analysts and data administrators,21223,0.20000000000000004,0.20000000000000004
21230: Computer systems developers and programmers,21230,0.5555555555555556,0.6799999999999999
21231: Software engineers and designers,21231,0.5555555555555556,0.6799999999999999
21232: Software developers and programmers,21232,0.5555555555555556,0.6799999999999999
