onet_soc_code,onet_plus_title,soc_2018,noc_2016,noc_2021,noc_plus_title,w_1,w_2,w_3,path_weight
13-1131.00,13-1131.00: Fundraisers,13-1131,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,1,0.3333333333333333,0.3333333333333333
13-1161.00,13-1161.00: Market Research Analysts and Marketing Specialists,13-1161,4163,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.5,0.5,0.25
13-1161.01,13-1161.01: Search Marketing Strategists,13-1161,4163,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.5,0.5,0.25
13-1161.00,13-1161.00: Market Research Analysts and Marketing Specialists,13-1161,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.5,0.3333333333333333,0.16666666666666666
13-1161.01,13-1161.01: Search Marketing Strategists,13-1161,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.5,0.3333333333333333,0.16666666666666666
41-3011.00,41-3011.00: Advertising Sales Agents,41-3011,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.5,0.3333333333333333,0.16666666666666666
27-3031.00,27-3031.00: Public Relations Specialists,27-3031,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,0.3333333333333333,0.3333333333333333,0.1111111111111111
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1211,12010,"12010: Supervisors, general office and administrative support workers",1,0.14285714285714285,1,0.14285714285714285
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1212,12011,"12011: Supervisors, finance and insurance office workers",1,0.14285714285714285,1,0.14285714285714285
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1213,12012,"12012: Supervisors, library, correspondence and related information workers",1,0.14285714285714285,1,0.14285714285714285
53-1041.00,53-1041.00: Aircraft Cargo Handling Supervisors,53-1041,1215,12013,"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",1,0.5,0.3333333333333333,0.16666666666666666
53-1042.00,"53-1042.00: First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1042,1215,12013,"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",1,0.5,0.3333333333333333,0.16666666666666666
53-1042.01,53-1042.01: Recycling Coordinators,53-1042,1215,12013,"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",1,0.5,0.3333333333333333,0.16666666666666666
53-1043.00,53-1043.00: First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1043,1215,12013,"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",1,0.25,0.3333333333333333,0.08333333333333333
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1215,12013,"12013: Supervisors, supply chain, tracking and scheduling coordination occupations",1,0.14285714285714285,0.3333333333333333,0.047619047619047616
43-6011.00,43-6011.00: Executive Secretaries and Executive Administrative Assistants,43-6011,1222,12100,12100: Executive assistants,1,0.5,1,0.5
13-1071.00,13-1071.00: Human Resources Specialists,13-1071,1223,12101,12101: Human resources and recruitment officers,1,1,1,1
13-1074.00,13-1074.00: Farm Labor Contractors,13-1074,1223,12101,12101: Human resources and recruitment officers,1,1,1,1
13-1023.00,"13-1023.00: Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,1225,12102,12102: Procurement and purchasing agents and officers,1,1,1,1
13-1021.00,"13-1021.00: Buyers and Purchasing Agents, Farm Products",13-1021,1225,12102,12102: Procurement and purchasing agents and officers,1,0.5,1,0.5
13-1121.00,"13-1121.00: Meeting, Convention, and Event Planners",13-1121,1226,12103,12103: Conference and event planners,1,1,1,1
13-2081.00,"13-2081.00: Tax Examiners and Collectors, and Revenue Agents",13-2081,1228,12104,12104: Employment insurance and revenue officers,1,1,0.5,0.5
23-1021.00,"23-1021.00: Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,1228,12104,12104: Employment insurance and revenue officers,1,0.5,0.5,0.25
43-4061.00,"43-4061.00: Eligibility Interviewers, Government Programs",43-4061,1228,12104,12104: Employment insurance and revenue officers,1,0.5,0.5,0.25
33-3051.00,33-3051.00: Police and Sheriff's Patrol Officers,33-3051,1228,12104,12104: Employment insurance and revenue officers,1,0.3333333333333333,0.5,0.16666666666666666
33-3051.04,33-3051.04: Customs and Border Protection Officers,33-3051,1228,12104,12104: Employment insurance and revenue officers,1,0.3333333333333333,0.5,0.16666666666666666
27-3092.00,27-3092.00: Court Reporters and Simultaneous Captioners,27-3092,1251,12110,"12110: Court reporters, medical transcriptionists and related occupations",1,1,1,1
31-9094.00,31-9094.00: Medical Transcriptionists,31-9094,1251,12110,"12110: Court reporters, medical transcriptionists and related occupations",1,0.5,1,0.5
43-4071.00,43-4071.00: File Clerks,43-4071,1253,12111,12111: Health information management occupations,1,0.5,0.5,0.25
43-4071.00,43-4071.00: File Clerks,43-4071,1253,12112,12112: Records management technicians,1,0.5,0.5,0.25
19-4061.00,19-4061.00: Social Science Research Assistants,19-4061,1254,12113,12113: Statistical officers and related research support occupations,1,0.5,1,0.5
43-9111.00,43-9111.00: Statistical Assistants,43-9111,1254,12113,12113: Statistical officers and related research support occupations,1,0.5,1,0.5
43-3031.00,"43-3031.00: Bookkeeping, Accounting, and Auditing Clerks",43-3031,1311,12200,12200: Accounting technicians and bookkeepers,1,0.5,1,0.5
13-1031.00,"13-1031.00: Claims Adjusters, Examiners, and Investigators",13-1031,1312,12201,12201: Insurance adjusters and claims examiners,1,1,1,1
13-1032.00,"13-1032.00: Insurance Appraisers, Auto Damage",13-1032,1312,12201,12201: Insurance adjusters and claims examiners,1,1,1,1
13-2053.00,13-2053.00: Insurance Underwriters,13-2053,1313,12202,12202: Insurance underwriters,1,1,1,1
13-2022.00,13-2022.00: Appraisers of Personal and Business Property,13-2022,1314,12203,"12203: Assessors, business valuators and appraisers",1,1,1,1
13-2023.00,13-2023.00: Appraisers and Assessors of Real Estate,13-2023,1314,12203,"12203: Assessors, business valuators and appraisers",1,1,1,1
13-2031.00,13-2031.00: Budget Analysts,13-2031,1221,13100,13100: Administrative officers,1,1,1,1
25-9044.00,"25-9044.00: Teaching Assistants, Postsecondary",25-9044,1221,13100,13100: Administrative officers,1,0.5,1,0.5
43-6011.00,43-6011.00: Executive Secretaries and Executive Administrative Assistants,43-6011,1221,13100,13100: Administrative officers,1,0.5,1,0.5
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1221,13100,13100: Administrative officers,1,0.14285714285714285,1,0.14285714285714285
11-3012.00,11-3012.00: Administrative Services Managers,11-3012,1221,13100,13100: Administrative officers,1,0.125,1,0.125
11-9141.00,"11-9141.00: Property, Real Estate, and Community Association Managers",11-9141,1224,13101,13101: Property administrators,1,0.5,1,0.5
41-9022.00,41-9022.00: Real Estate Sales Agents,41-9022,1224,13101,13101: Property administrators,1,0.5,1,0.5
43-3051.00,43-3051.00: Payroll and Timekeeping Clerks,43-3051,1432,13102,13102: Payroll administrators,1,1,1,1
43-6014.00,"43-6014.00: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,1241,13110,13110: Administrative assistants,1,1,1,1
11-3111.00,11-3111.00: Compensation and Benefits Managers,11-3111,0112,13110,13110: Administrative assistants,1,1,0.25,0.25
11-3121.00,11-3121.00: Human Resources Managers,11-3121,0112,13110,13110: Administrative assistants,1,1,0.25,0.25
11-3131.00,11-3131.00: Training and Development Managers,11-3131,0112,13110,13110: Administrative assistants,1,1,0.25,0.25
43-6012.00,43-6012.00: Legal Secretaries and Administrative Assistants,43-6012,1242,13111,13111: Legal administrative assistants,1,1,1,1
43-6013.00,43-6013.00: Medical Secretaries and Administrative Assistants,43-6013,1243,13112,13112: Medical administrative assistants,1,1,1,1
31-9094.00,31-9094.00: Medical Transcriptionists,31-9094,1243,13112,13112: Medical administrative assistants,1,0.5,1,0.5
13-1199.04,13-1199.04: Business Continuity Planners,13-1199,1315,13200,"13200: Customs, ship and other brokers",1,0.25,1,0.25
13-1199.05,13-1199.05: Sustainability Specialists,13-1199,1315,13200,"13200: Customs, ship and other brokers",1,0.25,1,0.25
13-1199.06,13-1199.06: Online Merchants,13-1199,1315,13200,"13200: Customs, ship and other brokers",1,0.25,1,0.25
13-1199.07,13-1199.07: Security Management Specialists,13-1199,1315,13200,"13200: Customs, ship and other brokers",1,0.25,1,0.25
43-5031.00,43-5031.00: Public Safety Telecommunicators,43-5031,1525,13201,13201: Production and transportation logistics coordinators,1,1,0.5,0.5
43-5061.00,"43-5061.00: Production, Planning, and Expediting Clerks",43-5061,1523,13201,13201: Production and transportation logistics coordinators,1,1,0.5,0.5
53-1041.00,53-1041.00: Aircraft Cargo Handling Supervisors,53-1041,1215,13201,13201: Production and transportation logistics coordinators,1,0.5,0.3333333333333333,0.16666666666666666
53-1042.00,"53-1042.00: First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1042,1215,13201,13201: Production and transportation logistics coordinators,1,0.5,0.3333333333333333,0.16666666666666666
53-1042.01,53-1042.01: Recycling Coordinators,53-1042,1215,13201,13201: Production and transportation logistics coordinators,1,0.5,0.3333333333333333,0.16666666666666666
43-5032.00,"43-5032.00: Dispatchers, Except Police, Fire, and Ambulance",43-5032,1525,13201,13201: Production and transportation logistics coordinators,1,0.25,0.5,0.125
53-1043.00,53-1043.00: First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1043,1215,13201,13201: Production and transportation logistics coordinators,1,0.25,0.3333333333333333,0.08333333333333333
43-1011.00,43-1011.00: First-Line Supervisors of Office and Administrative Support Workers,43-1011,1215,13201,13201: Production and transportation logistics coordinators,1,0.14285714285714285,0.3333333333333333,0.047619047619047616
43-9022.00,43-9022.00: Word Processors and Typists,43-9022,1411,14100,14100: General office support workers,1,1,1,1
43-9061.00,"43-9061.00: Office Clerks, General",43-9061,1411,14100,14100: General office support workers,1,1,1,1
43-9071.00,"43-9071.00: Office Machine Operators, Except Computer",43-9071,1411,14100,14100: General office support workers,1,1,1,1
43-4071.00,43-4071.00: File Clerks,43-4071,1411,14100,14100: General office support workers,1,0.5,1,0.5
43-2011.00,"43-2011.00: Switchboard Operators, Including Answering Service",43-2011,1414,14101,14101: Receptionists,1,1,1,1
43-2021.00,43-2021.00: Telephone Operators,43-2021,1414,14101,14101: Receptionists,1,1,1,1
43-4171.00,43-4171.00: Receptionists and Information Clerks,43-4171,1414,14101,14101: Receptionists,1,1,1,1
43-4161.00,"43-4161.00: Human Resources Assistants, Except Payroll and Timekeeping",43-4161,1415,14102,14102: Personnel clerks,1,1,1,1
23-1012.00,23-1012.00: Judicial Law Clerks,23-1012,1416,14103,14103: Court clerks and related court services occupations,1,1,1,1
43-4031.00,"43-4031.00: Court, Municipal, and License Clerks",43-4031,1416,14103,14103: Court clerks and related court services occupations,1,0.3333333333333333,1,0.3333333333333333
23-1021.00,"23-1021.00: Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,1227,14103,14103: Court clerks and related court services occupations,1,0.5,0.3333333333333333,0.16666666666666666
43-4031.00,"43-4031.00: Court, Municipal, and License Clerks",43-4031,1227,14103,14103: Court clerks and related court services occupations,1,0.3333333333333333,0.3333333333333333,0.1111111111111111
43-4111.00,"43-4111.00: Interviewers, Except Eligibility and Loan",43-4111,1454,14110,14110: Survey interviewers and statistical clerks,1,1,1,1
43-5041.00,"43-5041.00: Meter Readers, Utilities",43-5041,1454,14110,14110: Survey interviewers and statistical clerks,1,1,1,1
43-9111.00,43-9111.00: Statistical Assistants,43-9111,1454,14110,14110: Survey interviewers and statistical clerks,1,0.5,1,0.5
43-9021.00,43-9021.00: Data Entry Keyers,43-9021,1422,14111,14111: Data entry clerks,1,1,1,1
43-9031.00,43-9031.00: Desktop Publishers,43-9031,1423,14112,14112: Desktop publishing operators and related occupations,1,1,1,1
51-5111.00,51-5111.00: Prepress Technicians and Workers,51-5111,1423,14112,14112: Desktop publishing operators and related occupations,1,0.5,1,0.5
13-2082.00,13-2082.00: Tax Preparers,13-2082,1431,14200,14200: Accounting and related clerks,1,1,1,1
43-3021.00,43-3021.00: Billing and Posting Clerks,43-3021,1431,14200,14200: Accounting and related clerks,1,0.5,1,0.5
43-3031.00,"43-3031.00: Bookkeeping, Accounting, and Auditing Clerks",43-3031,1431,14200,14200: Accounting and related clerks,1,0.5,1,0.5
43-4011.00,43-4011.00: Brokerage Clerks,43-4011,1434,14201,"14201: Banking, insurance and other financial clerks",1,1,1,1
43-4041.00,"43-4041.00: Credit Authorizers, Checkers, and Clerks",43-4041,1434,14201,"14201: Banking, insurance and other financial clerks",1,1,1,1
43-9041.00,43-9041.00: Insurance Claims and Policy Processing Clerks,43-9041,1434,14201,"14201: Banking, insurance and other financial clerks",1,1,1,1
43-3021.00,43-3021.00: Billing and Posting Clerks,43-3021,1434,14201,"14201: Banking, insurance and other financial clerks",1,0.5,1,0.5
43-4131.00,43-4131.00: Loan Interviewers and Clerks,43-4131,1434,14201,"14201: Banking, insurance and other financial clerks",1,0.5,1,0.5
43-3011.00,43-3011.00: Bill and Account Collectors,43-3011,1435,14202,14202: Collection clerks,1,1,1,1
43-4121.00,"43-4121.00: Library Assistants, Clerical",43-4121,1451,14300,14300: Library assistants and clerks,1,1,1,1
43-4021.00,43-4021.00: Correspondence Clerks,43-4021,1452,14301,"14301: Correspondence, publication and regulatory clerks",1,1,1,1
43-9081.00,43-9081.00: Proofreaders and Copy Markers,43-9081,1452,14301,"14301: Correspondence, publication and regulatory clerks",1,1,1,1
43-4031.00,"43-4031.00: Court, Municipal, and License Clerks",43-4031,1452,14301,"14301: Correspondence, publication and regulatory clerks",1,0.3333333333333333,1,0.3333333333333333
43-5071.00,"43-5071.00: Shipping, Receiving, and Inventory Clerks",43-5071,1521,14400,14400: Shippers and receivers,1,0.5,1,0.5
41-2022.00,41-2022.00: Parts Salespersons,41-2022,1522,14401,14401: Storekeepers and partspersons,1,1,1,1
53-7065.00,53-7065.00: Stockers and Order Fillers,53-7065,1522,14401,14401: Storekeepers and partspersons,1,0.5,1,0.5
43-5061.00,"43-5061.00: Production, Planning, and Expediting Clerks",43-5061,1523,14402,14402: Production logistics workers,1,1,0.5,0.5
43-3061.00,43-3061.00: Procurement Clerks,43-3061,1524,14403,14403: Purchasing and inventory control workers,1,1,1,1
43-5071.00,"43-5071.00: Shipping, Receiving, and Inventory Clerks",43-5071,1524,14403,14403: Purchasing and inventory control workers,1,0.5,1,0.5
43-5031.00,43-5031.00: Public Safety Telecommunicators,43-5031,1525,14404,14404: Dispatchers,1,1,0.5,0.5
43-5032.00,"43-5032.00: Dispatchers, Except Police, Fire, and Ambulance",43-5032,1525,14404,14404: Dispatchers,1,0.25,0.5,0.125
43-5032.00,"43-5032.00: Dispatchers, Except Police, Fire, and Ambulance",43-5032,1526,14405,14405: Transportation route and crew schedulers,1,0.25,1,0.25
11-9041.00,11-9041.00: Architectural and Engineering Managers,11-9041,0211,20010,20010: Engineering managers,1,0.5,1,0.5
11-9041.01,11-9041.01: Biofuels/Biodiesel Technology and Product Development Managers,11-9041,0211,20010,20010: Engineering managers,1,0.5,1,0.5
11-9121.00,11-9121.00: Natural Sciences Managers,11-9121,0212,20011,20011: Architecture and science managers,1,1,1,1
11-9121.01,11-9121.01: Clinical Research Coordinators,11-9121,0212,20011,20011: Architecture and science managers,1,1,1,1
11-9121.02,11-9121.02: Water Resource Specialists,11-9121,0212,20011,20011: Architecture and science managers,1,1,1,1
11-9041.00,11-9041.00: Architectural and Engineering Managers,11-9041,0212,20011,20011: Architecture and science managers,1,0.5,1,0.5
11-9041.01,11-9041.01: Biofuels/Biodiesel Technology and Product Development Managers,11-9041,0212,20011,20011: Architecture and science managers,1,0.5,1,0.5
19-3051.00,19-3051.00: Urban and Regional Planners,19-3051,0212,20011,20011: Architecture and science managers,1,0.5,1,0.5
11-3021.00,11-3021.00: Computer and Information Systems Managers,11-3021,0213,20012,20012: Computer and information systems managers,1,1,1,1
19-2011.00,19-2011.00: Astronomers,19-2011,2111,21100,21100: Physicists and astronomers,1,1,1,1
19-2012.00,19-2012.00: Physicists,19-2012,2111,21100,21100: Physicists and astronomers,1,1,1,1
19-1021.00,19-1021.00: Biochemists and Biophysicists,19-1021,2111,21100,21100: Physicists and astronomers,1,0.5,1,0.5
19-2021.00,19-2021.00: Atmospheric and Space Scientists,19-2021,2111,21100,21100: Physicists and astronomers,1,0.3333333333333333,1,0.3333333333333333
19-2031.00,19-2031.00: Chemists,19-2031,2112,21101,21101: Chemists,1,1,1,1
