onet_soc_code,onet_plus_title,soc_2018,noc_2016,noc_2021,noc_plus_title,w_1,w_2,w_3,path_weight
11-9111.00,11-9111.00: Medical and Health Services Managers,11-9111,0014,00018,00018: Senior managers - public and private sector,1,0.25,1,0.25
11-1011.00,11-1011.00: Chief Executives,11-1011,0012,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.00,11-1011.00: Chief Executives,11-1011,0013,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.00,11-1011.00: Chief Executives,11-1011,0014,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.00,11-1011.00: Chief Executives,11-1011,0015,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.00,11-1011.00: Chief Executives,11-1011,0016,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.03,11-1011.03: Chief Sustainability Officers,11-1011,0012,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.03,11-1011.03: Chief Sustainability Officers,11-1011,0013,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.03,11-1011.03: Chief Sustainability Officers,11-1011,0014,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.03,11-1011.03: Chief Sustainability Officers,11-1011,0015,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1011.03,11-1011.03: Chief Sustainability Officers,11-1011,0016,00018,00018: Senior managers - public and private sector,1,0.16666666666666666,1,0.16666666666666666
11-1021.00,11-1021.00: General and Operations Managers,11-1021,0014,00018,00018: Senior managers - public and private sector,1,0.08333333333333333,1,0.08333333333333333
11-1021.00,11-1021.00: General and Operations Managers,11-1021,0015,00018,00018: Senior managers - public and private sector,1,0.08333333333333333,1,0.08333333333333333
11-3031.00,11-3031.00: Financial Managers,11-3031,0111,10010,10010: Financial managers,1,0.3333333333333333,1,0.3333333333333333
11-3031.01,11-3031.01: Treasurers and Controllers,11-3031,0111,10010,10010: Financial managers,1,0.3333333333333333,1,0.3333333333333333
11-3031.03,11-3031.03: Investment Fund Managers,11-3031,0111,10010,10010: Financial managers,1,0.3333333333333333,1,0.3333333333333333
11-3111.00,11-3111.00: Compensation and Benefits Managers,11-3111,0112,10011,10011: Human resources managers,1,1,0.25,0.25
11-3121.00,11-3121.00: Human Resources Managers,11-3121,0112,10011,10011: Human resources managers,1,1,0.25,0.25
11-3131.00,11-3131.00: Training and Development Managers,11-3131,0112,10011,10011: Human resources managers,1,1,0.25,0.25
11-3061.00,11-3061.00: Purchasing Managers,11-3061,0113,10012,10012: Purchasing managers,1,1,1,1
11-1021.00,11-1021.00: General and Operations Managers,11-1021,0433,10012,10012: Purchasing managers,1,0.08333333333333333,0.5,0.041666666666666664
11-9111.00,11-9111.00: Medical and Health Services Managers,11-9111,0114,10019,10019: Other administrative services managers,1,0.25,1,0.25
23-1021.00,"23-1021.00: Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,1227,10019,10019: Other administrative services managers,1,0.5,0.3333333333333333,0.16666666666666666
11-3012.00,11-3012.00: Administrative Services Managers,11-3012,0114,10019,10019: Other administrative services managers,1,0.125,1,0.125
43-4031.00,"43-4031.00: Court, Municipal, and License Clerks",43-4031,1227,10019,10019: Other administrative services managers,1,0.3333333333333333,0.3333333333333333,0.1111111111111111
41-9021.00,41-9021.00: Real Estate Brokers,41-9021,0121,10020,"10020: Insurance, real estate and financial brokerage managers",1,1,1,1
11-9141.00,"11-9141.00: Property, Real Estate, and Community Association Managers",11-9141,0121,10020,"10020: Insurance, real estate and financial brokerage managers",1,0.5,1,0.5
11-3031.00,11-3031.00: Financial Managers,11-3031,0121,10020,"10020: Insurance, real estate and financial brokerage managers",1,0.3333333333333333,1,0.3333333333333333
11-3031.01,11-3031.01: Treasurers and Controllers,11-3031,0121,10020,"10020: Insurance, real estate and financial brokerage managers",1,0.3333333333333333,1,0.3333333333333333
11-3031.03,11-3031.03: Investment Fund Managers,11-3031,0121,10020,"10020: Insurance, real estate and financial brokerage managers",1,0.3333333333333333,1,0.3333333333333333
11-3031.00,11-3031.00: Financial Managers,11-3031,0122,10021,"10021: Banking, credit and other investment managers",1,0.3333333333333333,1,0.3333333333333333
11-3031.01,11-3031.01: Treasurers and Controllers,11-3031,0122,10021,"10021: Banking, credit and other investment managers",1,0.3333333333333333,1,0.3333333333333333
11-3031.03,11-3031.03: Investment Fund Managers,11-3031,0122,10021,"10021: Banking, credit and other investment managers",1,0.3333333333333333,1,0.3333333333333333
11-2011.00,11-2011.00: Advertising and Promotions Managers,11-2011,0124,10022,"10022: Advertising, marketing and public relations managers",1,1,1,1
11-2021.00,11-2021.00: Marketing Managers,11-2021,0124,10022,"10022: Advertising, marketing and public relations managers",1,1,1,1
11-2033.00,11-2033.00: Fundraising Managers,11-2033,0124,10022,"10022: Advertising, marketing and public relations managers",1,1,1,1
13-1011.00,"13-1011.00: Agents and Business Managers of Artists, Performers, and Athletes",13-1011,1123,10022,"10022: Advertising, marketing and public relations managers",1,1,0.3333333333333333,0.3333333333333333
13-1131.00,13-1131.00: Fundraisers,13-1131,1123,10022,"10022: Advertising, marketing and public relations managers",1,1,0.3333333333333333,0.3333333333333333
13-1161.00,13-1161.00: Market Research Analysts and Marketing Specialists,13-1161,1123,10022,"10022: Advertising, marketing and public relations managers",1,0.5,0.3333333333333333,0.16666666666666666
13-1161.01,13-1161.01: Search Marketing Strategists,13-1161,1123,10022,"10022: Advertising, marketing and public relations managers",1,0.5,0.3333333333333333,0.16666666666666666
41-3011.00,41-3011.00: Advertising Sales Agents,41-3011,1123,10022,"10022: Advertising, marketing and public relations managers",1,0.5,0.3333333333333333,0.16666666666666666
27-3031.00,27-3031.00: Public Relations Specialists,27-3031,1123,10022,"10022: Advertising, marketing and public relations managers",1,0.3333333333333333,0.3333333333333333,0.1111111111111111
11-9199.01,11-9199.01: Regulatory Affairs Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-9199.02,11-9199.02: Compliance Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-9199.08,11-9199.08: Loss Prevention Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-9199.09,11-9199.09: Wind Energy Operations Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-9199.10,11-9199.10: Wind Energy Development Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-9199.11,11-9199.11: Brownfield Redevelopment Specialists and Site Managers,11-9199,0125,10029,10029: Other business services managers,1,1,1,1
11-1021.00,11-1021.00: General and Operations Managers,11-1021,0131,10030,10030: Telecommunication carriers managers,1,0.08333333333333333,1,0.08333333333333333
13-2011.00,13-2011.00: Accountants and Auditors,13-2011,1111,11100,11100: Financial auditors and accountants,1,1,1,1
13-2052.00,13-2052.00: Personal Financial Advisors,13-2052,1114,11100,11100: Financial auditors and accountants,1,1,0.3333333333333333,0.3333333333333333
13-2061.00,13-2061.00: Financial Examiners,13-2061,1114,11100,11100: Financial auditors and accountants,1,1,0.3333333333333333,0.3333333333333333
13-2099.01,13-2099.01: Financial Quantitative Analysts,13-2099,1114,11100,11100: Financial auditors and accountants,1,1,0.3333333333333333,0.3333333333333333
13-2099.04,"13-2099.04: Fraud Examiners, Investigators and Analysts",13-2099,1114,11100,11100: Financial auditors and accountants,1,1,0.3333333333333333,0.3333333333333333
13-2072.00,13-2072.00: Loan Officers,13-2072,1114,11100,11100: Financial auditors and accountants,1,0.5,0.3333333333333333,0.16666666666666666
13-2052.00,13-2052.00: Personal Financial Advisors,13-2052,1114,11102,11102: Financial advisors,1,1,0.3333333333333333,0.3333333333333333
13-2061.00,13-2061.00: Financial Examiners,13-2061,1114,11102,11102: Financial advisors,1,1,0.3333333333333333,0.3333333333333333
13-2099.01,13-2099.01: Financial Quantitative Analysts,13-2099,1114,11102,11102: Financial advisors,1,1,0.3333333333333333,0.3333333333333333
13-2099.04,"13-2099.04: Fraud Examiners, Investigators and Analysts",13-2099,1114,11102,11102: Financial advisors,1,1,0.3333333333333333,0.3333333333333333
13-2072.00,13-2072.00: Loan Officers,13-2072,1114,11102,11102: Financial advisors,1,0.5,0.3333333333333333,0.16666666666666666
41-3031.00,"41-3031.00: Securities, Commodities, and Financial Services Sales Agents",41-3031,1113,11103,"11103: Securities agents, investment dealers and brokers",1,1,1,1
13-2052.00,13-2052.00: Personal Financial Advisors,13-2052,1114,11109,11109: Other financial officers,1,1,0.3333333333333333,0.3333333333333333
13-2061.00,13-2061.00: Financial Examiners,13-2061,1114,11109,11109: Other financial officers,1,1,0.3333333333333333,0.3333333333333333
13-2099.01,13-2099.01: Financial Quantitative Analysts,13-2099,1114,11109,11109: Other financial officers,1,1,0.3333333333333333,0.3333333333333333
13-2099.04,"13-2099.04: Fraud Examiners, Investigators and Analysts",13-2099,1114,11109,11109: Other financial officers,1,1,0.3333333333333333,0.3333333333333333
13-2072.00,13-2072.00: Loan Officers,13-2072,1114,11109,11109: Other financial officers,1,0.5,0.3333333333333333,0.16666666666666666
13-1075.00,13-1075.00: Labor Relations Specialists,13-1075,1121,11200,11200: Human resources professionals,1,1,1,1
13-1141.00,"13-1141.00: Compensation, Benefits, and Job Analysis Specialists",13-1141,1121,11200,11200: Human resources professionals,1,1,1,1
13-1151.00,13-1151.00: Training and Development Specialists,13-1151,1121,11200,11200: Human resources professionals,1,1,1,1
23-1022.00,"23-1022.00: Arbitrators, Mediators, and Conciliators",23-1022,1121,11200,11200: Human resources professionals,1,1,1,1
11-3111.00,11-3111.00: Compensation and Benefits Managers,11-3111,0112,11200,11200: Human resources professionals,1,1,0.25,0.25
11-3121.00,11-3121.00: Human Resources Managers,11-3121,0112,11200,11200: Human resources professionals,1,1,0.25,0.25
11-3131.00,11-3131.00: Training and Development Managers,11-3131,0112,11200,11200: Human resources professionals,1,1,0.25,0.25
13-1041.00,13-1041.00: Compliance Officers,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.01,13-1041.01: Environmental Compliance Inspectors,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.03,13-1041.03: Equal Opportunity Representatives and Officers,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.04,13-1041.04: Government Property Inspectors and Investigators,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.06,13-1041.06: Coroners,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.07,13-1041.07: Regulatory Affairs Specialists,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1041.08,13-1041.08: Customs Brokers,13-1041,1121,11200,11200: Human resources professionals,1,0.16666666666666666,1,0.16666666666666666
13-1111.00,13-1111.00: Management Analysts,13-1111,1122,11201,11201: Professional occupations in business management consulting,1,1,1,1
13-1011.00,"13-1011.00: Agents and Business Managers of Artists, Performers, and Athletes",13-1011,1123,11202,"11202: Professional occupations in advertising, marketing and public relations",1,1,0.3333333333333333,0.3333333333333333
